name,chain,gene,uniprot,flybase
run_001,A,ftz,P02835,FBgn0001077
run_001,B,Pka-C3,P16912,FBgn0000489
run_002,A,ftz,P02835,FBgn0001077
run_002,B,sgg,Q6A4W4,FBgn0003371
run_003,A,ftz,P02835,FBgn0001077
run_003,B,CG8485,Q0E981,FBgn0033915
run_004,A,ftz,P02835,FBgn0001077
run_004,B,Pkc53E,A0A0B4K826,FBgn0003091
run_005,A,ftz,P02835,FBgn0001077
run_005,B,Sik2,A0A0C5KAZ3,FBgn0025625
run_006,A,ftz,P02835,FBgn0001077
run_006,B,Dyrk3,P83102,FBgn0027101
run_007,A,ftz,P02835,FBgn0001077
run_007,B,CG10738,C7LAF5,FBgn0036368
run_008,A,ftz,P02835,FBgn0001077
run_008,B,CG14305,Q7JY24,FBgn0038630
run_009,A,ftz,P02835,FBgn0001077
run_009,B,CG12069,Q9VA47,FBgn0039796
run_010,A,ftz,P02835,FBgn0001077
run_010,B,Pkcdelta,,FBgn0259680
run_011,A,ftz,P02835,FBgn0001077
run_011,B,Cdk7,Q24216,FBgn0263237
run_012,A,ftz,P02835,FBgn0001077
run_012,B,CkIIbeta,Q9NGY9,FBgn0000259
