name,rank,model,chain_i,chain_j,iLIS,iLIA,iLISA,ipSAE,actifpTM,LIS,cLIS,LIA,cLIA,ipTM,pLDDT_i,pLDDT_j,pTM,LIR_i,LIR_j,cLIR_i,cLIR_j,LIpLDDT_i,LIpLDDT_j,cLIpLDDT_i,cLIpLDDT_j,len_i,len_j,LIR_indices_i,LIR_indices_j,cLIR_indices_i,cLIR_indices_j
aPKC___ATbp,1,1,A,B,0.2588,320.9,83.0,0.0717,0.8140,0.1964,0.3411,1775.0,58.0,0.3300,44.2,23.8,0.400,263,8,16,7,87.3,50.0,88.4,52.8,958,388,"[613,615-622,630-636,638-649,661-672,674-766,770-818,828-871,874-904,914,938,944-947]",[202-209],"[839-846,852,855-857,859-862]",[203-209]
aPKC___ATbp,2,5,A,B,0.0658,290.8,19.1,0.0132,0.5954,0.0610,0.0710,2225.0,38.0,0.2900,43.7,26.9,0.390,268,26,13,12,88.4,51.4,70.0,51.9,958,388,"[613-627,629-651,656,659-661,663-670,674-678,680-695,697,699-708,711-767,770-815,827-870,875-884,888-902,916,932-933,936-938,940-947]","[331,333,337-343,350-351,359-373]","[626,703,707,742,761,774,776,778-780,828-830]","[333,337,341,359-365,368,371]"
aPKC___ATbp,3,4,A,B,0.1155,161.5,18.7,0.0173,0.6329,0.1098,0.1215,767.0,34.0,0.2800,44.0,21.8,0.400,229,8,14,7,88.0,35.8,81.5,36.1,958,388,"[489-491,493,616,621,630-635,640-647,662-670,674-682,684-685,690-697,699-757,759-766,771-815,829-869,875-885,887-902,938]","[13,15-16,204-208]","[489,491,493,840-846,852,855-856,859]","[13,15,204-208]"
aPKC___ATbp,4,3,A,B,0.0120,17.5,0.2,0.0000,0.4091,0.0101,0.0142,51.0,6.0,0.2400,44.2,26.2,0.390,42,4,5,2,89.7,47.2,73.1,46.6,958,388,"[616,629,642,701,718,722,740,742,744-745,748,759-763,771,774-777,787,794-795,798,800,807,809,833,835,850-851,854-857,861-862,864,867,879,881]","[361,363-365]","[761,774-777]",[363-364]
aPKC___ATbp,5,2,A,B,0.0000,0.0,0.0,0.0000,0.3309,0.0000,0.0000,0.0,0.0,0.2000,44.0,27.0,0.380,0,0,0,0,,,,,958,388,,,,
aPKC___Abd-B,1,1,A,B,0.1143,574.3,65.7,0.0155,0.6864,0.0814,0.1605,7854.0,42.0,0.3100,44.8,23.5,0.370,303,58,14,14,89.5,72.8,74.9,68.7,958,493,"[612-652,655-671,674-708,711-767,770-816,828-870,875-885,887-903,908-923,925-927,932-947]",[393-450],"[624-626,651,742,744,778-780,812-813,828-830]","[393,399,411-412,414,417,432,435-437,440,443-444,448]"
aPKC___Abd-B,2,2,A,B,0.0421,148.5,6.3,0.0128,0.6142,0.0315,0.0562,1697.0,13.0,0.2500,46.3,23.4,0.370,267,11,10,6,92.6,33.3,86.3,35.0,958,493,"[613,615-626,629-636,638-651,661-671,674-764,771-815,829-869,875,877-884,888-903,909-919,921,932,936,938,941,944-945,947]",[292-302],"[703,706-707,743-744,778-779,812-813,915]","[293-295,298-300]"
aPKC___Abd-B,3,3,A,B,0.0088,13.7,0.1,0.0000,0.5205,0.0106,0.0072,63.0,3.0,0.2300,46.3,24.0,0.380,52,4,3,1,95.5,30.3,88.6,30.8,958,493,"[616,622,632-634,641-643,674,681,693,695,697,713-714,716-719,722-724,727,741-742,744,749,752-753,755,771,778,781-782,792,795,799,804,806,848,850-852,866,879,881,883,889,892-893,895,897]","[233,252-253,381]","[742,744,778]",[253]
aPKC___Abd-B,4,5,A,B,0.0000,0.0,0.0,0.0000,0.4074,0.0000,0.0000,0.0,0.0,0.2000,46.4,24.4,0.360,0,0,0,0,,,,,958,493,,,,
aPKC___Abd-B,5,4,A,B,0.0000,0.0,0.0,0.0000,0.3380,0.0000,0.0000,0.0,0.0,0.2000,43.9,21.7,0.360,0,0,0,0,,,,,958,493,,,,
